system:index,mean_annual_rainfall_mm,year,.geo
0,1614.6165426490165,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,956.3334152254105,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1043.2431091432013,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1915.1008067876526,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1348.1440891533705,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1182.7334869530212,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1899.16799872885,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1173.9163962829991,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1530.6344606097591,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1391.961994682781,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
